number of points;est
1500;3.10933
1500;3.17333
1500;3.152
1500;3.11467
1500;3.088
1500;3.144
1500;3.18933
1500;3.112
1500;3.13067
1500;3.208
1500;3.09333
1500;3.136
1500;3.13333
1500;3.14133
1500;3.09067
1500;3.176
1500;3.12267
1500;3.12533
1500;3.10667
1500;3.12267
1500;3.11467
1500;3.152
1550;3.13548
1550;3.13548
1550;3.13548
1550;3.20258
1550;3.14323
1550;3.12774
1550;3.10452
1550;3.16387
1550;3.21548
1550;3.11226
1550;3.11484
1550;3.12258
1550;3.21548
1550;3.08387
1550;3.06065
1550;3.11484
1550;3.09419
1550;3.10194
1550;3.15097
1550;3.12
1550;3.16129
1550;3.13548
1550;3.09161
1550;3.11484
1550;3.11742
1550;3.1329
1550;3.08903
1550;3.10194
1550;3.1871
1550;3.06065
1550;3.12
1550;3.09935
1550;3.10968
1550;3.20258
1550;3.12
1550;3.13548
1550;3.19484
1550;3.21806
1550;3.15871
1550;3.16387
1550;3.18194
1550;3.16645
1550;3.09161
1550;3.17161
1550;3.19226
1550;3.07097
1550;3.12516
1550;3.13806
1550;3.16645
1550;3.1329
1600;3.13
1600;3.1475
1600;3.2075
1600;3.19
1600;3.125
1600;3.195
1600;3.095
1600;3.1625
1600;3.145
1600;3.165
1600;3.135
1600;3.145
1600;3.19
1600;3.1425
1600;3.135
1600;3.115
1600;3.185
1600;3.175
1600;3.105
1600;3.2325
1600;3.185
1600;3.19
1600;3.155
1600;3.1525
1600;3.1525
1600;3.11
1600;3.165
1600;3.0375
1600;3.115
1600;3.1275
1600;3.1425
1600;3.1275
1600;3.11
1600;3.12
1600;3.115
1600;3.2
1600;3.1125
1600;3.15
1600;3.16
1600;3.065
1600;3.145
1600;3.1525
1600;3.1
1600;3.2325
1600;3.1325
1600;3.175
1600;3.17
1600;3.195
1600;3.1175
1600;3.14
1650;3.14424
1650;3.07636
1650;3.12485
1650;3.18303
1650;3.2097
1650;3.18061
1650;3.19515
1650;3.20242
1650;3.12485
1650;3.10545
1650;3.18061
1650;3.13939
1650;3.04
1650;3.2
1650;3.16121
1650;3.1103
1650;3.14667
1650;3.11273
1650;3.11758
1650;3.17333
1650;3.16364
1650;3.11273
1650;3.16121
1650;3.16364
1650;3.08848
1650;3.08606
1650;3.16121
1650;3.13212
1650;3.16606
1650;3.13939
1650;3.15394
1650;3.18545
1650;3.16364
